CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
3156	GEBANG PALM	Agriculture and vegetation	Person/Thing		n
3157	CIVET	Animals	Person/Thing		n
3158	RICE EAR BUG	Animals	Person/Thing		n
3159	BURDEN STICK	Basic actions and technology	Person/Thing		n
3160	SLAP	Basic actions and technology	Action/Process		v
3161	CHEW BETEL	Food and drink	Action/Process		v
3162	CROSS-COUSIN	Kinship	Person/Thing		n
3163	SQUAT	Motion	Action/Process		v
3164	ONE HUNDRED AND TWENTY THREE	Quantity	Number		a
3165	TWENTY THREE	Quantity	Number		a
3166	TWENTY TWO	Quantity	Number		a
3167	SERMON	Religion and belief	Person/Thing		n
3168	DOWRY	Social and political relations	Person/Thing		n
3169	TREATY	Social and political relations	Person/Thing		n
3170	BATHE (SOMEONE)	The body	Action/Process		v
3171	RINGWORM	The body	Person/Thing		n
3172	SCABIES	The body	Person/Thing		n
3173	TINEA	The body	Person/Thing		n
3174	WAKE UP (SOMEONE)	The body	Action/Process		v
3176	RACK (FOR STORING FOOD)	The house	Person/Thing		n
3177	BALE-BALE (RAISED PLATFORM IN HOUSE)	The house	Person/Thing		n
3178	RITUAL GROUND	The house	Person/Thing		n
3179	CORAL ROCK	The physical world	Person/Thing		n
3180	SHOOT (WITH SLINGSHOT)	Warfare and hunting	Action/Process		v
3181	MUSTARD	Food and drink	Person/Thing		n
3182	MARRIAGE OR WEDDING	Kinship	Person/Thing		n
3183	BREATH OR BREATHE	The body	Other		n
3184	BE ALIVE OR LIFE	The body	Other		n
3185	BE DEAD OR DIE OR KILL	The body	Other		n
3186	BE DEAD OR DEATH OR DIE	The body	Other		n
3187	DROWNED	The body	Property		a
3188	MIGHTY OR POWERFUL OR STRONG	Emotions and values	Property		a
3189	STAB TO DEATH	The body	Action/Process		v
3190	BROKEN (NOT WORKING)	Basic actions and technology	Property		a
3191	BROKEN (SHATTERED)	Basic actions and technology	Property		a
3192	BRONZE OR COPPER	The physical world	Person/Thing		n
3193	CROSSBOW	Warfare and hunting	Person/Thing		n
3194	PAINT (SOMETHING) OR PAINTING	Basic actions and technology	Action/Process		v
3195	DAMAGE OR INJURE	Possession	Action/Process		v
3196	BE LEFT	Spatial relations	Property		a
3197	SUSPICION	Cognition	Person/Thing		n
3198	NOTHING OR ZERO	Miscellaneous function words	Number		a
3199	TWIST (AROUND)	Motion	Action/Process		v
3200	COUNTRYSIDE	The physical world	Person/Thing		n
3201	HINDER OR PREVENT	Social and political relations	Action/Process		v
3202	CANNON	Warfare and hunting	Person/Thing		n
3203	CANNON OR GUN	Warfare and hunting	Person/Thing		n
3204	INSULT	Social and political relations	Action/Process		v
3205	GRAVEN IMAGE	Religion and belief	Person/Thing		n
3206	ELF OR FAIRY	Religion and belief	Person/Thing	i86797	n
3207	GO UP OR RISE (ONESELF)	Motion	Action/Process		v
3208	CENTER OR MIDDLE	Spatial relations	Person/Thing		n
3209	MAKE A SPEECH	Speech and language	Action/Process		v
3210	KNIFE (FOR EATING)	Food and drink	Person/Thing	i55422	n
3211	HOPE (FAITH)	Emotions and values	Person/Thing		n
3212	HOPE (SOMETHING)	Emotions and values	Action/Process	i30784	v
3213	HIRE OR RENT	Social and political relations	Action/Process		v
3215	CREEP	Motion	Action/Process		v
3217	TIN OR TINPLATE	Basic actions and technology	Person/Thing	i60293	n
3220	MATERNAL UNCLE	Kinship	Person/Thing		n
3221	PLANTAGO	Agriculture and vegetation	Person/Thing		n
3222	TWIG	Agriculture and vegetation	Person/Thing		n
3223	BRANCH OR TWIG	Agriculture and vegetation	Person/Thing		n
3224	WRING	Basic actions and technology	Action/Process		v
3228	BOW OR CROSSBOW	Warfare and hunting	Person/Thing		n
3230	DECEIVE	Cognition	Action/Process		v
3231	DEITY	Religion and belief	Person/Thing	i86570	n
3232	PELT	Clothing and grooming	Person/Thing		n
3233	SMALL KNIFE	Food and drink	Person/Thing		n
3234	OPEN (EYES)	Basic actions and technology	Action/Process		v
3235	OPEN (STATE)	Basic actions and technology	Property		a
3236	TWIST (TOGETHER)	Motion	Action/Process	i22435	v
3237	ALLOW OR PERMIT	Social and political relations	Action/Process		v
3238	ALLOW	Social and political relations	Action/Process		v
3239	AMUSE ONESELF (HAVE FUN)	Basic actions and technology	Action/Process		v
3240	BAMBOO MAT	Modern world	Person/Thing		n
3241	CORIANDER	Agriculture and vegetation	Person/Thing		n
3243	CYPRESS	Agriculture and vegetation	Person/Thing		n
3244	EAR (OF GRAIN)	Agriculture and vegetation	Person/Thing		n
3245	FROG (SMALL)	Animals	Person/Thing		n
3246	FRUIT (CLASSIFIER)	Quantity	Classifier		n
3247	KIWIFRUIT	Agriculture and vegetation	Person/Thing		n
3248	MAPLE TREE	Agriculture and vegetation	Person/Thing		n
3249	MATERNAL UNCLE (MOTHER'S OLDER BROTHER)	Kinship	Person/Thing		n
3250	MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)	Kinship	Person/Thing		n
3251	MOLD (GET ROTTEN)	Agriculture and vegetation	Person/Thing		n
3252	PANCREAS	The body	Person/Thing		n
3253	PRICKLY ASH	Agriculture and vegetation	Person/Thing		n
3254	YOUNG ANIMAL	Animals	Person/Thing		n
3255	POINT (POINTED END)	Spatial relations	Person/Thing		n
3256	BITTER BUCKWHEAT	Agriculture and vegetation	Person/Thing		n
3257	CLITORIS	The body	Person/Thing		n
3258	FALCON	Animals	Person/Thing		n
3259	GORAL	Animals	Person/Thing		n
3260	HORNBILL	Animals	Person/Thing		n
3261	HORNET	Animals	Person/Thing		n
3262	HORSEFLY	Animals	Person/Thing		n
3263	LAP	The body	Person/Thing		n
3264	TRIVET	Food and drink	Person/Thing		n
3265	FINGER MILLET	Agriculture and vegetation	Person/Thing		n
3266	FOXTAIL MILLET	Agriculture and vegetation	Person/Thing		n
3267	PULSE	The body	Person/Thing		n
3268	QUESTION	Speech and language	Person/Thing		n
3269	PORCH	The house	Person/Thing		n
3270	SEROW	Animals	Person/Thing		n
3271	FLYING SQUIRREL	Animals	Person/Thing		n
3272	TAKIN	Animals	Person/Thing		n
3273	TILL	Agriculture and vegetation	Action/Process		v
3274	ENCIRCLE	Basic actions and technology	Action/Process		v
3275	CLOUD OR FOG	The physical world	Person/Thing		n
3276	SUNSHINE	The physical world	Person/Thing		n
3277	FOUR DAYS FROM NOW	Time	Other		n
3278	FOUR DAYS BEFORE NOW	Time	Other		n
3279	MANTIS	Animals	Person/Thing		n
3280	TUSK	Animals	Person/Thing		n
3281	JOB'S TEARS	Agriculture and vegetation	Person/Thing		n
3282	GROOM	Kinship	Person/Thing		n
3283	CAGE	Animals	Person/Thing		n
3284	GRAVEYARD	The body	Person/Thing		n
3285	RICE FLOUR	Food and drink	Person/Thing		n
3286	LARGE BOWL	Food and drink	Person/Thing		n
3287	BLOOM	Agriculture and vegetation	Action/Process		v
3288	WEED	Agriculture and vegetation	Person/Thing		n
3289	UNCOOKED RICE	Food and drink	Person/Thing		n
3290	IMPEL	Motion	Action/Process		v
3291	DRIVE OR IMPEL OR RIDE	Motion	Action/Process		v
3292	THOU (HONORIFIC)	Kinship	Other		n
3293	YOU (HONORIFIC)	Kinship	Other		n
3294	BRAID (VERB) OR WEAVE (BASKET)	Basic actions and technology	Action/Process	i30117	v
3295	BRAID (VERB)	Basic actions and technology	Action/Process		v
3296	WEAVE (BASKET)	Basic actions and technology	Action/Process		v
3297	PRECIPICE OR SLOPE	The physical world	Person/Thing		n
3298	APE OR MONKEY	Animals	Person/Thing		n
3299	KIND	Emotions and values	Property		a
3300	POLITE	Emotions and values	Property		a
3301	BRAWL	Basic actions and technology	Action/Process		v
3302	QUARREL (VERB)	Social and political relations	Action/Process		v
3303	PICTURE (PAINTING)	Basic actions and technology	Person/Thing		n
3304	PICTURE (PHOTOGRAPH)	Modern world	Person/Thing		n
3305	INSIDE A HOUSE	The house	Other		n
3306	NAIL	Basic actions and technology	Action/Process		v
3307	HIT (A TARGET)	Basic actions and technology	Action/Process		v
3308	STRIKE (SOMEONE)	Basic actions and technology	Action/Process		v
3309	STRIKE (SOMETHING)	Basic actions and technology	Action/Process		v
3310	SHORE OR BANK	The physical world	Person/Thing		n
3311	FLOWING BODY OF WATER	The physical world	Person/Thing	i86262	n
3312	SHORT (TIME)	Time	Other		n
3313	JACKAL	Animals	Person/Thing		n
3314	LYNX	Animals	Person/Thing		n
3315	FLAX	Agriculture and vegetation	Person/Thing		n
3316	HOPS	Agriculture and vegetation	Person/Thing		n
3317	ELM	Agriculture and vegetation	Person/Thing		n
3318	OAR OR PADDLE	Basic actions and technology	Person/Thing		n
3319	JEW’S HARP	Speech and language	Person/Thing		n
3320	SNARE (TRAP)	Warfare and hunting	Person/Thing		n
3321	POND OR LAKE	The physical world	Person/Thing		n
3322	SNOW OR ICE	The physical world	Person/Thing		n
3323	MONSOON SEASON	Time	Person/Thing		n
3324	IRON OR METAL	Basic actions and technology	Person/Thing		n
3325	PEARL	Basic actions and technology	Person/Thing		n
3326	LEATHER OR HIDE	Basic actions and technology	Person/Thing		n
3327	AUTUMN OR HARVEST SEASON	Time	Other		n
3328	ORANGE (COLOR)	Sense perception	Property		a
3329	YEARLING (HORSE)	Animals	Person/Thing		n
3330	LENTILS	Food and drink	Person/Thing		n
3331	FASTING	Religion and belief	Action/Process		v
3332	PRIEST OR SHAMAN	Religion and belief	Person/Thing		n
3333	BELIEF (RELIGIOUS)	Religion and belief	Action/Process		v
3334	RITE	Religion and belief	Person/Thing		n
3335	SACRED GROVE	Religion and belief	Person/Thing		n
3336	FUNERAL	Religion and belief	Action/Process		v
3337	BURIAL MOUND	Religion and belief	Person/Thing		n
3338	LIBATE	Religion and belief	Action/Process		v
3339	POLAR STAR	The physical world	Person/Thing		n
3340	MORNING STAR	The physical world	Person/Thing		n
3341	EVENING STAR	The physical world	Person/Thing		n
3342	URSA MAJOR	The physical world	Person/Thing		n
3343	ORION’S BELT	The physical world	Person/Thing		n
3344	SIDE (BODY)	The body	Person/Thing		n
3345	ATOP OR UP	Spatial relations	Other		n
3346	TALL (PERSON)	Spatial relations	Property		a
3347	HIGH OR UP	Spatial relations	Other	i20602	r
